Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label,Batch_ID
114,70.03333333333333,87.06666666666666,0.24001,1,12
115,64.26666666666667,82.36666666666666,0.3481166666666667,1,12
116,68.36666666666666,81.9,-0.10861833333333332,1,12
117,69.36666666666666,87.53333333333333,0.44577500000000003,1,12
118,65.93333333333334,85.8,0.4292916666666667,1,12
119,66.46666666666667,77.66666666666667,0.030213333333333318,1,12
120,68.73333333333333,87.06666666666666,-0.08527666666666664,1,12
121,69.86666666666666,86.3,0.5241016666666666,1,12
122,64.46666666666667,78.56666666666666,0.14417833333333335,1,12
123,68.46666666666667,80.33333333333333,0.24127499999999996,1,12
124,70.66666666666667,85.1,-0.24984833333333334,1,12
125,66.76666666666667,87.0,0.58733,1,12
126,65.83333333333333,84.13333333333334,0.16962833333333335,1,12
127,70.86666666666666,83.03333333333333,0.1155616666666667,1,12
128,67.53333333333333,84.36666666666666,-0.31326833333333337,1,12
129,68.16666666666667,88.23333333333333,0.8295633333333333,1,12
130,62.233333333333334,81.26666666666667,0.019716666666666677,1,12
131,73.0,82.33333333333333,0.17426166666666668,1,12
132,70.23333333333333,82.66666666666667,-0.275845,1,12
133,68.53333333333333,87.0,0.7037,1,12
134,71.66666666666667,81.43333333333334,-0.028561666666666614,1,12
135,65.6,92.96666666666667,0.25816500000000003,1,12
136,70.96666666666667,88.06666666666666,0.33575499999999997,1,12
137,64.06666666666666,81.7,-0.08138333333333335,1,12
138,69.46666666666667,82.2,0.3535833333333333,1,12
139,70.33333333333333,86.06666666666666,-0.14745333333333335,1,12
140,64.96666666666667,80.83333333333333,0.754995,1,12
141,67.83333333333333,78.2,0.32713000000000003,1,12
142,67.46666666666667,84.86666666666666,0.36444,1,12
143,73.46666666666667,84.5,-0.5331866666666667,0,13
144,73.63333333333334,82.9,-0.5105766666666667,0,13
145,60.4,92.8,0.26169166666666666,1,14
146,67.8,86.7,0.3177933333333333,1,14
147,64.16666666666667,89.63333333333334,0.3453416666666667,1,14
148,63.766666666666666,89.06666666666666,0.31105499999999997,1,14
149,63.333333333333336,89.73333333333333,0.48796666666666666,1,14
150,62.6,89.03333333333333,0.4655583333333333,1,14
151,62.3,89.16666666666667,0.13598500000000005,1,14
152,66.03333333333333,88.56666666666666,0.36665833333333336,1,14
153,64.46666666666667,89.66666666666667,0.3600966666666666,1,14
154,62.96666666666667,85.8,0.6137016666666667,1,14
155,65.86666666666666,89.1,0.478275,1,14
156,61.666666666666664,90.16666666666667,0.1633,1,14
157,64.36666666666666,85.8,0.30253833333333335,1,14
158,61.4,92.3,0.4533,1,14
159,62.666666666666664,88.06666666666666,0.61345,1,14
160,66.66666666666667,87.46666666666667,0.013991666666666625,1,14
161,60.766666666666666,87.1,0.6160433333333334,1,14
162,61.266666666666666,91.93333333333334,0.2845333333333333,1,14
163,62.13333333333333,90.56666666666666,0.6550566666666667,1,14
164,60.666666666666664,90.96666666666667,0.601295,1,14
165,59.63333333333333,91.0,0.5549816666666666,1,14
166,63.03333333333333,89.33333333333333,0.6174183333333333,1,14
167,63.3,90.36666666666666,0.3226583333333333,1,14
168,61.1,90.7,0.30732499999999996,1,14
169,61.333333333333336,90.23333333333333,0.5054133333333334,1,14
