Sampled_Row,Randomized_Position,Record_ID,Window,HR_Mean,SpO2_Mean,Flow_Mean,Stage,Sleep_Label,Split
147,735,698,698,-1.483099864265905,0.5821051269024942,-0.4113797926799818,N1,1,train
148,740,170,170,0.37673987935597897,0.4232274261747226,1.3985719950607942,N2,1,train
149,745,733,733,-1.187887206548145,0.765425550819155,-0.45505445391100946,R,1,train
150,750,574,574,-0.8159192578237691,0.8693071243719314,0.2115535035779266,N2,1,train
151,755,206,206,0.37673987935597897,0.34378857581083555,0.9240899548766551,N3,1,train
152,760,4,4,1.9590797247231686,1.1320663986524766,-0.32419610620796685,W,0,test
153,765,546,546,-1.270546750709118,1.0159634635052595,0.23582509168992793,N2,1,train
154,770,573,573,-1.1642701939307243,0.6187692116858268,-0.8372831632136807,N2,1,train
155,775,200,200,0.6483355244563186,0.3193458526219488,0.16334159933400466,N3,1,train
156,780,489,489,-0.6387916631931134,-0.8111300948641273,1.0876732417548358,N1,1,train
157,785,674,674,-0.3553875117840642,-0.07173771840026222,-0.3937099818853076,N2,1,train
158,790,62,62,1.5516862570726613,-0.016741591225264488,0.6958198983165989,N2,1,train
159,795,520,520,-0.6210789037300476,-0.8233514564585707,0.9069584610496125,N2,1,train
160,800,492,492,-0.5029938406429443,-1.7949497032168753,-0.17725923632885324,N1,1,train
161,805,791,791,-1.418153079567998,-0.21228337673636868,-0.5664801506396614,N2,1,train
162,810,724,724,-0.5148023469516539,0.2704604062441728,-0.7923129919176937,N2,1,test
163,815,461,461,0.05200595586644451,1.0465168674913679,-0.6018493500843742,N1,1,test
164,820,201,201,0.41216539828210935,0.12991474790806368,-0.555625077720938,N3,1,test
165,825,702,702,-1.0166638650718454,0.6615439772663811,-0.02114731571571224,N2,1,train
166,830,565,565,-1.193791459702501,0.7409828276302682,-0.29188525700792994,N3,1,train
167,835,80,80,1.882324433716553,1.3764936305413595,-2.115543422924554,W,0,train
168,840,427,427,2.189345597743023,-3.1698528825918317,-3.6118161389551218,N1,1,test
169,845,564,564,-1.0048553587631344,0.7409828276302682,-0.5267570908853134,N3,1,train
170,850,315,315,0.24094205680580985,-0.5667028629752471,-0.0019335408710179378,N2,1,train
171,855,840,840,-0.5325151064147198,-0.8844582644307927,-0.7950459857533614,N1,1,test
172,860,893,893,-0.3258662460122887,0.2887924486358378,-0.9409831241211594,W,0,train
173,865,562,562,-0.9103873082934517,0.8448644011830421,-0.3681251369951281,N2,1,train
174,870,475,475,0.22322929734274402,-0.18172997275025768,-1.7613308582230143,N1,1,train
175,875,560,560,-0.969429839837004,0.6248798924830485,-1.0943265574721954,N3,1,test
176,880,313,313,0.6601440307650283,1.3581615881496918,1.5006510894943053,N1,1,train
177,885,385,385,-0.5384193595690747,-0.06562703760304053,-0.33723994042365374,N1,1,train
178,890,769,769,-1.3177807759439593,0.16046815189417468,-0.8177499475310513,R,1,test
179,895,871,871,-1.335493535407025,1.4498218001080223,-0.8693218961443654,N1,1,train
180,900,330,330,0.7487078280803561,0.484334234146942,0.4417283740234481,N2,1,test
181,905,20,20,1.3981756750594274,0.5087769573358313,0.666508243650509,N2,1,train
182,910,860,860,-0.9930468524544247,0.43544878776916596,-2.528521270664024,N1,1,train
