Model,Threshold,Sensitivity,Specificity,False_Positive_Rate,False_Negative_Rate,Precision,F1,Balanced_Accuracy,TN,FP,FN,TP
Random Forest,0.28,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.29000000000000004,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.31,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.32,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.33,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.34,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.35000000000000003,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.36000000000000004,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.37,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.38,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.39,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.41000000000000003,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.42000000000000004,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.43,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.44,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.45,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.46,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.47000000000000003,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.48000000000000004,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.49,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.51,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.52,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.53,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.54,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.55,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
